file,key,path,read_by_code,value
disruptions.yaml,calibrated_on,calibration.calibrated_on,False,2026-08-25
disruptions.yaml,decision_date,meta.decision_date,False,2026-08-25
disruptions.yaml,liquidity_stress_elasticity,tier2_extensions.model.liquidity_stress_elasticity,False,0.6
disruptions.yaml,outage_duration_days,tier1.model.outage_duration_days,False,
disruptions.yaml,region,meta.region,False,"Sichuan Province, China"
disruptions.yaml,risk_aversion_shift,tier2_extensions.model.risk_aversion_shift,False,0.08
disruptions.yaml,scope_change_2026_08,meta.scope_change_2026_08,False,The input price shock (formerly D4) was moved to the deferre
disruptions.yaml,spatial_correlation_estimated,calibration.spatial_correlation_estimated,False,0.393
disruptions.yaml,tier1_rationale,meta.tier1_rationale,False,THREE shocks are modelled explicitly. D1 and D2 are the two 
disruptions.yaml,typical_duration_days,tier1.typical_duration_days,False,
model_params.yaml,abm_to_sd,sd.interface_contract.abm_to_sd,False,
model_params.yaml,contract_diversification,risk_attitude.provider.covariates.contract_diversification,False,-0.05
model_params.yaml,debt_ratio,risk_attitude.provider.covariates.debt_ratio,False,0.08
model_params.yaml,distribution,risk_attitude.farmer.distribution,False,beta
model_params.yaml,dt_years,sd.dt_years,False,0.5
model_params.yaml,fleet_size,risk_attitude.provider.covariates.fleet_size,False,-0.03
model_params.yaml,grain_filling,loss.stage_vulnerability.grain_filling,False,0.95
model_params.yaml,harvest_month,production.crop_calendar.harvest_month,False,9
model_params.yaml,input_price_shock,risk_attitude.farmer.stress_shift.input_price_shock,False,0.08
model_params.yaml,jointing,loss.stage_vulnerability.jointing,False,0.8
model_params.yaml,liquidity_floor,behaviour.exit_rule.liquidity_floor,False,0.0
model_params.yaml,maturity,loss.stage_vulnerability.maturity,False,0.7
model_params.yaml,owned_by_abm,sd.interface_contract.owned_by_abm,False,
model_params.yaml,owned_by_sd,sd.interface_contract.owned_by_sd,False,
model_params.yaml,rule,sd.interface_contract.rule,False,"Waiting time is computed ONCE, in the SD layer, from SD capa"
model_params.yaml,sd_to_abm,sd.interface_contract.sd_to_abm,False,
model_params.yaml,seedling,loss.stage_vulnerability.seedling,False,0.6
model_params.yaml,sowing_month,production.crop_calendar.sowing_month,False,4
model_params.yaml,version,meta.version,False,0.2.0
model_params.yaml,years_operating,risk_attitude.provider.covariates.years_operating,False,-0.015
