file,line,value,context
agents.py,52,6.0,units: float = 6.0
agents.py,54,0.85,utilisation_ceiling: float = 0.85
agents.py,55,300.0,unit_capacity_mu_per_day: float = 300.0
agents.py,57,0.28,u_min_base: float = 0.28
agents.py,151,0.55,trust: float = 0.55
agents.py,574,0.45,access_discount: float = 0.45
agents.py,575,0.08,literacy_bonus: float = 0.08
agents.py,576,40.0,training_slots: int = 40
agents.py,584,0.45,c_risk: float = 0.45
agents.py,72,0.35,scaling: float = 0.35) -> float:
agents.py,175,0.08,"stress_shift: float = 0.08,"
agents.py,176,0.06,loss_shift: float = 0.06) -> float:
agents.py,189,0.2,if self.liquidity < 0.2:
agents.py,190,0.05,c += 0.05
agents.py,264,2.2,learning *= 2.2
agents.py,271,0.35,access_cost *= 0.35
agents.py,278,0.9,"rho = ctx[""reliability""].get(tech, 0.9)"
agents.py,279,0.6,"e_expect = ctx[""expected_effort""].get((tech, mode), 0.6)"
agents.py,359,0.02,"ce += ctx[""peer_weight""] * self._peer_signal(tech, ctx) * gross * 0.02"
agents.py,360,0.03,ce += (self.trust - 0.55) * gross * 0.03
agents.py,191,0.05,"return float(np.clip(c, 0.05, 0.95))"
agents.py,191,0.95,"return float(np.clip(c, 0.05, 0.95))"
agents.py,274,0.2,"eta = self.belief_efficacy.get(tech, spec[""model""].get(""eta_drought"", 0.2))"
agents.py,352,0.35,mitig_frac *= 0.35
agents.py,399,200.0,"floor = float(ctx.get(""income_floor"", 200.0))"
agents.py,407,0.25,"p_sev = float(ctx.get(""severe_share"", 0.25))"
agents.py,408,0.62,"mult_mod = float(ctx.get(""damage_mult_moderate"", 0.62))"
agents.py,409,2.14,"mult_sev = float(ctx.get(""damage_mult_severe"", 2.14))"
agents.py,515,0.02,"c1, c2, gamma, max(u_min, 0.02), 1.0, ctx[""effort_max""])"
agents.py,606,25000.0,"""subsidy_cap"": p1.get(""cap_per_farm"", 25000.0),"
agents.py,607,120.0,"""subsidy_lag_days"": p1.get(""disbursement_lag_days"", 120),"
agents.py,609,30.0,"""voucher_max_mu"": p2.get(""max_mu_per_farm"", 30.0),"
agents.py,619,60.0,"""insurance_payout_lag"": p6.get(""payout_lag_days"", 60),"
