parameter,module,direction,param_base,param_value,output,base,value,pct_change_out,elasticity
eta T2 drought,technology,low,0.45,0.25,adopt_any,0.14227777777777775,0.14227777777777775,0.0,-0.0
eta T2 drought,technology,low,0.45,0.25,effort_T3,0.743096898378123,0.743096898378123,0.0,-0.0
eta T2 drought,technology,low,0.45,0.25,effective_use_rate,0.1691666666666667,0.1691666666666667,0.0,-0.0
eta T2 drought,technology,low,0.45,0.25,mitigation_rate,0.019081530743363915,0.019081530743363915,0.0,-0.0
eta T2 drought,technology,low,0.45,0.25,mean_wait_days,14.923042921534568,14.923042921534568,0.0,-0.0
eta T2 drought,technology,low,0.45,0.25,mean_income,8061.483789570764,8061.483789570764,0.0,-0.0
eta T2 drought,technology,high,0.45,0.65,adopt_any,0.14227777777777775,0.14227777777777775,0.0,0.0
eta T2 drought,technology,high,0.45,0.65,effort_T3,0.743096898378123,0.743096898378123,0.0,0.0
eta T2 drought,technology,high,0.45,0.65,effective_use_rate,0.1691666666666667,0.1691666666666667,0.0,0.0
eta T2 drought,technology,high,0.45,0.65,mitigation_rate,0.019081530743363915,0.019081530743363915,0.0,0.0
eta T2 drought,technology,high,0.45,0.65,mean_wait_days,14.923042921534568,14.923042921534568,0.0,0.0
eta T2 drought,technology,high,0.45,0.65,mean_income,8061.483789570764,8061.483789570764,0.0,0.0
eta T3 flood,technology,low,0.35,0.2,adopt_any,0.14227777777777775,0.14055555555555557,-1.210464662241283,0.02824417545229661
eta T3 flood,technology,low,0.35,0.2,effort_T3,0.743096898378123,0.7556247882567461,1.6859025930489473,-0.03933772717114211
eta T3 flood,technology,low,0.35,0.2,effective_use_rate,0.1691666666666667,0.168,-0.689655172413799,0.016091954022988648
eta T3 flood,technology,low,0.35,0.2,mitigation_rate,0.019081530743363915,0.015311028883614514,-19.759954850900463,0.4610656131876776
eta T3 flood,technology,low,0.35,0.2,mean_wait_days,14.923042921534568,14.004224399459803,-6.157045362034524,0.1436643917808056
eta T3 flood,technology,low,0.35,0.2,mean_income,8061.483789570764,8052.03952461703,-0.11715293611273209,0.0027335685092970824
eta T3 flood,technology,high,0.35,0.5,adopt_any,0.14227777777777775,0.1444444444444445,1.5228426395939556,0.03553299492385896
eta T3 flood,technology,high,0.35,0.5,effort_T3,0.743096898378123,0.7423225928924193,-0.10419980050968686,-0.0024313286785593597
eta T3 flood,technology,high,0.35,0.5,effective_use_rate,0.1691666666666667,0.1735,2.561576354679783,0.059770114942528256
eta T3 flood,technology,high,0.35,0.5,mitigation_rate,0.019081530743363915,0.023193040855909158,21.54706646884252,0.502764884272992
eta T3 flood,technology,high,0.35,0.5,mean_wait_days,14.923042921534568,15.614103062910992,4.630825931480739,0.10805260506788389
eta T3 flood,technology,high,0.35,0.5,mean_income,8061.483789570764,8075.822501381153,0.1778669062008085,0.0041502278113521975
eta T1 flood,technology,low,0.28,0.15,adopt_any,0.14227777777777775,0.137,-3.7094884810620607,0.07989667497672129
eta T1 flood,technology,low,0.28,0.15,effort_T3,0.743096898378123,0.751313223077795,1.1056868515539386,-0.023814793725777137
eta T1 flood,technology,low,0.28,0.15,effective_use_rate,0.1691666666666667,0.1625,-3.9408866995073977,0.0848806366047747
eta T1 flood,technology,low,0.28,0.15,mitigation_rate,0.019081530743363915,0.01656675974649846,-13.179084166190544,0.2838571974256424
eta T1 flood,technology,low,0.28,0.15,mean_wait_days,14.923042921534568,14.694874236200045,-1.528968900875214,0.0329316378650046
eta T1 flood,technology,low,0.28,0.15,mean_income,8061.483789570764,8050.862866649278,-0.13174898317387757,0.0028376704068219776
eta T1 flood,technology,high,0.28,0.45,adopt_any,0.14227777777777775,0.14400000000000002,1.2104646622413415,0.01993706502515151
eta T1 flood,technology,high,0.28,0.45,effort_T3,0.743096898378123,0.7436657951187676,0.07655754476789116,0.001260947796177031
eta T1 flood,technology,high,0.28,0.45,effective_use_rate,0.1691666666666667,0.17383333333333337,2.75862068965518,0.045436105476673566
eta T1 flood,technology,high,0.28,0.45,mitigation_rate,0.019081530743363915,0.02144361880432551,12.378923330263067,0.2038881489690388
eta T1 flood,technology,high,0.28,0.45,mean_wait_days,14.923042921534568,14.374531139798862,-3.6756027883842752,-0.06053934004397631
eta T1 flood,technology,high,0.28,0.45,mean_income,8061.483789570764,8069.862750012955,0.10393819129216426,0.0017119231506944705
T2 capex per mu,technology,low,420.0,250.0,adopt_any,0.14227777777777775,0.1436111111111111,0.9371339320578039,-0.023152720674369274
T2 capex per mu,technology,low,420.0,250.0,effort_T3,0.743096898378123,0.7399255152941097,-0.42677921155843307,0.010543956991443641
T2 capex per mu,technology,low,420.0,250.0,effective_use_rate,0.1691666666666667,0.17450000000000002,3.1527093596059084,-0.07789046653144009
T2 capex per mu,technology,low,420.0,250.0,mitigation_rate,0.019081530743363915,0.019280616963814085,1.0433451232386421,-0.02577676186824881
T2 capex per mu,technology,low,420.0,250.0,mean_wait_days,14.923042921534568,14.736181517505235,-1.2521669006237615,0.03093588813305764
T2 capex per mu,technology,low,420.0,250.0,mean_income,8061.483789570764,8057.063354408277,-0.054834014157621465,0.0013547227027177068
T2 capex per mu,technology,high,420.0,650.0,adopt_any,0.14227777777777775,0.14355555555555555,0.8980866848887272,0.01639984381101154
T2 capex per mu,technology,high,420.0,650.0,effort_T3,0.743096898378123,0.7490381036860092,0.7995195943965647,0.01459992302811118
T2 capex per mu,technology,high,420.0,650.0,effective_use_rate,0.1691666666666667,0.17133333333333334,1.2807881773398915,0.023388305847076275
T2 capex per mu,technology,high,420.0,650.0,mitigation_rate,0.019081530743363915,0.01916621765131529,0.4438161125035857,0.008104468141369826
T2 capex per mu,technology,high,420.0,650.0,mean_wait_days,14.923042921534568,15.450128227065626,3.532022981522434,0.0644978109669314
T2 capex per mu,technology,high,420.0,650.0,mean_income,8061.483789570764,8066.054971637094,0.056703978890881475,0.001035463962355227
T3 service price,technology,low,12.0,7.0,adopt_any,0.14227777777777775,0.15122222222222223,6.286606794221031,-0.15087856306130473
T3 service price,technology,low,12.0,7.0,effort_T3,0.743096898378123,0.7363248694580843,-0.9113251494952099,0.021871803587885038
T3 service price,technology,low,12.0,7.0,effective_use_rate,0.1691666666666667,0.18483333333333338,9.261083743842377,-0.22226600985221703
T3 service price,technology,low,12.0,7.0,mitigation_rate,0.019081530743363915,0.020345641493091957,6.624786903784797,-0.1589948856908351
T3 service price,technology,low,12.0,7.0,mean_wait_days,14.923042921534568,17.858172377286788,19.668438073824117,-0.47204251377177875
T3 service price,technology,low,12.0,7.0,mean_income,8061.483789570764,8088.949375080567,0.34070136747449853,-0.008176832819387966
T3 service price,technology,high,12.0,20.0,adopt_any,0.14227777777777775,0.12694444444444444,-10.77704021866457,-0.16165560327996856
T3 service price,technology,high,12.0,20.0,effort_T3,0.743096898378123,0.753797935028242,1.4400593884155624,0.021600890826233437
T3 service price,technology,high,12.0,20.0,effective_use_rate,0.1691666666666667,0.15583333333333332,-7.881773399014795,-0.11822660098522193
T3 service price,technology,high,12.0,20.0,mitigation_rate,0.019081530743363915,0.01634245613732054,-14.35458529445264,-0.21531877941678962
T3 service price,technology,high,12.0,20.0,mean_wait_days,14.923042921534568,11.075583786686515,-25.782001399299137,-0.38673002098948706
T3 service price,technology,high,12.0,20.0,mean_income,8061.483789570764,8038.48253446327,-0.28532284760345494,-0.0042798427140518245
gamma provider,contract,low,0.12,0.05,adopt_any,0.14227777777777775,0.15255555555555556,7.223740726278816,-0.12383555530763686
gamma provider,contract,low,0.12,0.05,effort_T3,0.743096898378123,0.9223993292088223,24.129078081478106,-0.4136413385396247
gamma provider,contract,low,0.12,0.05,effective_use_rate,0.1691666666666667,0.22066666666666668,30.44334975369457,-0.5218859957776213
gamma provider,contract,low,0.12,0.05,mitigation_rate,0.019081530743363915,0.024848783196611924,30.224265185085937,-0.5181302603157589
gamma provider,contract,low,0.12,0.05,mean_wait_days,14.923042921534568,16.246867913431494,8.87101242593487,-0.15207449873031206
gamma provider,contract,low,0.12,0.05,mean_income,8061.483789570764,8089.279066393178,0.344791077523137,-0.00591070418611092
gamma provider,contract,high,0.12,0.25,adopt_any,0.14227777777777775,0.11888888888888889,-16.43889105818038,-0.1517436097678189
gamma provider,contract,high,0.12,0.25,effort_T3,0.743096898378123,0.49472333907167726,-33.424114654299295,-0.3085302891166088
gamma provider,contract,high,0.12,0.25,effective_use_rate,0.1691666666666667,0.05683333333333335,-66.4039408866995,-0.6129594543387646
gamma provider,contract,high,0.12,0.25,mitigation_rate,0.019081530743363915,0.011223237227944364,-41.18272072146241,-0.38014819127503763
gamma provider,contract,high,0.12,0.25,mean_wait_days,14.923042921534568,11.848248343308308,-20.604340511473062,-0.19019391241359748
gamma provider,contract,high,0.12,0.25,mean_income,8061.483789570764,8027.579337903062,-0.42057334050047734,-0.0038822154507736364
U_min provider,contract,low,0.28,0.15,adopt_any,0.14227777777777775,0.14805555555555558,4.060913705583791,-0.08746583365872779
U_min provider,contract,low,0.28,0.15,effort_T3,0.743096898378123,0.8220650045629455,10.62689218016892,-0.22888690849594592
U_min provider,contract,low,0.28,0.15,effective_use_rate,0.1691666666666667,0.2066666666666667,22.167487684729064,-0.4774535809018567
U_min provider,contract,low,0.28,0.15,mitigation_rate,0.019081530743363915,0.02138367265461714,12.064765359843337,-0.25985648467354877
U_min provider,contract,low,0.28,0.15,mean_wait_days,14.923042921534568,16.485181825726013,10.467964961336493,-0.22546386070570906
U_min provider,contract,low,0.28,0.15,mean_income,8061.483789570764,8075.165217457487,0.16971351979176633,-0.0036553681185918898
U_min provider,contract,high,0.28,0.45,adopt_any,0.14227777777777775,0.13088888888888892,-8.004685669660255,-0.13184188161793362
U_min provider,contract,high,0.28,0.45,effort_T3,0.743096898378123,0.6602448930284094,-11.149556071428329,-0.18363974705881955
U_min provider,contract,high,0.28,0.45,effective_use_rate,0.1691666666666667,0.12266666666666666,-27.487684729064053,-0.4527383367139963
U_min provider,contract,high,0.28,0.45,mitigation_rate,0.019081530743363915,0.015833525786570168,-17.021721163137414,-0.28035776033402804
U_min provider,contract,high,0.28,0.45,mean_wait_days,14.923042921534568,15.346623540289722,2.83843329394911,0.04675066601798535
U_min provider,contract,high,0.28,0.45,mean_income,8061.483789570764,8049.594632778307,-0.14748099857049407,-0.0024290987999846087
shirk multiplier,contract,low,0.55,0.3,adopt_any,0.14227777777777775,0.13627777777777775,-4.217102694260059,0.09277625927372128
shirk multiplier,contract,low,0.55,0.3,effort_T3,0.743096898378123,0.6907848774742926,-7.039730756245402,0.15487407663739883
shirk multiplier,contract,low,0.55,0.3,effective_use_rate,0.1691666666666667,0.16699999999999995,-1.2807881773399408,0.028177339901478693
shirk multiplier,contract,low,0.55,0.3,mitigation_rate,0.019081530743363915,0.01725216776632822,-9.587087124401188,0.21091591673682614
shirk multiplier,contract,low,0.55,0.3,mean_wait_days,14.923042921534568,14.454404743173967,-3.140366082337919,0.06908805381143421
shirk multiplier,contract,low,0.55,0.3,mean_income,8061.483789570764,8053.172100788706,-0.10310370893272562,0.0022682815965199632
shirk multiplier,contract,high,0.55,0.8,adopt_any,0.14227777777777775,0.14188888888888887,-0.273330730183518,-0.006013276064037397
shirk multiplier,contract,high,0.55,0.8,effort_T3,0.743096898378123,0.7819764266463393,5.232094004573887,0.11510606810062551
shirk multiplier,contract,high,0.55,0.8,effective_use_rate,0.1691666666666667,0.21433333333333335,26.69950738916255,0.5873891625615761
shirk multiplier,contract,high,0.55,0.8,mitigation_rate,0.019081530743363915,0.02054842941397361,7.687531416313888,0.16912569115890555
shirk multiplier,contract,high,0.55,0.8,mean_wait_days,14.923042921534568,14.498642507120275,-2.8439267825321743,-0.06256638921570784
shirk multiplier,contract,high,0.55,0.8,mean_income,8061.483789570764,8071.68299985825,0.1265177795268958,0.0027833911495917076
verifiability T3,contract,low,0.8,0.5,adopt_any,0.14227777777777775,0.13622222222222222,-4.256149941429117,0.1134973317714431
verifiability T3,contract,low,0.8,0.5,effort_T3,0.743096898378123,0.6376847143610848,-14.185523347911957,0.3782806226109855
verifiability T3,contract,low,0.8,0.5,effective_use_rate,0.1691666666666667,0.13383333333333336,-20.886699507389157,0.5569786535303775
verifiability T3,contract,low,0.8,0.5,mitigation_rate,0.019081530743363915,0.01623148412100081,-14.936152977948481,0.39829741274529273
verifiability T3,contract,low,0.8,0.5,mean_wait_days,14.923042921534568,13.480990842439104,-9.663257598854212,0.25768686930277895
verifiability T3,contract,low,0.8,0.5,mean_income,8061.483789570764,8045.944474784438,-0.19275998304963937,0.005140266214657049
verifiability T3,contract,high,0.8,0.95,adopt_any,0.14227777777777775,0.14116666666666666,-0.7809449433814772,-0.04165039698034548
verifiability T3,contract,high,0.8,0.95,effort_T3,0.743096898378123,0.809113798635816,8.884023120239224,0.47381456641275893
verifiability T3,contract,high,0.8,0.95,effective_use_rate,0.1691666666666667,0.1795,6.108374384236436,0.32577996715927676
verifiability T3,contract,high,0.8,0.95,mitigation_rate,0.019081530743363915,0.020387940694293834,6.846463045865734,0.3651446957795061
verifiability T3,contract,high,0.8,0.95,mean_wait_days,14.923042921534568,14.248757682422408,-4.51841653647688,-0.2409822152787671
verifiability T3,contract,high,0.8,0.95,mean_income,8061.483789570764,8066.74188085708,0.06522485715493662,0.0034786590482632886
logit scale tau,behaviour,low,0.02,0.01,adopt_any,0.14227777777777775,0.10983333333333334,-22.80359234673954,0.45607184693479075
logit scale tau,behaviour,low,0.02,0.01,effort_T3,0.743096898378123,0.775592761198849,4.373031685591909,-0.08746063371183818
logit scale tau,behaviour,low,0.02,0.01,effective_use_rate,0.1691666666666667,0.14316666666666666,-15.369458128078831,0.3073891625615766
logit scale tau,behaviour,low,0.02,0.01,mitigation_rate,0.019081530743363915,0.0151605949833516,-20.548329233889792,0.41096658467779584
logit scale tau,behaviour,low,0.02,0.01,mean_wait_days,14.923042921534568,13.392215240688989,-10.258147007246972,0.20516294014493944
