parameter,module,adopt_any,effective_use_rate,effort_T3,mean_income,mean_wait_days,mitigation_rate,max_effect_pct,drives
gamma provider,contract,16.43889105818038,66.4039408866995,33.424114654299295,0.42057334050047734,20.604340511473062,41.18272072146241,66.4039408866995,effective_use_rate
capacity coverage,sd,46.036704412338906,46.896551724137936,0.7081855200501131,0.5276497476966617,44.84081762375889,49.05223980399245,49.05223980399245,mitigation_rate
provider risk mean,risk,12.924638812963666,47.290640394088676,24.030100515816624,0.33631045216871014,17.22662496819375,31.379887836248255,47.290640394088676,effective_use_rate
logit scale tau,behaviour,44.24053104256153,33.39901477832512,4.373031685591909,0.5784782377329598,37.272455038693266,29.445867635318905,44.24053104256153,adopt_any
routine benefit T3,technology,9.957048028114016,7.881773399014763,1.6338747375228013,0.4350846929039174,28.20319513084607,11.084032326751519,28.20319513084607,mean_wait_days
U_min provider,contract,8.004685669660255,27.487684729064053,11.149556071428329,0.16971351979176633,10.467964961336493,17.021721163137414,27.487684729064053,effective_use_rate
shirk multiplier,contract,4.217102694260059,26.69950738916255,7.039730756245402,0.1265177795268958,3.140366082337919,9.587087124401188,26.69950738916255,effective_use_rate
T3 service price,technology,10.77704021866457,9.261083743842377,1.4400593884155624,0.34070136747449853,25.782001399299137,14.35458529445264,25.782001399299137,mean_wait_days
eta T3 flood,technology,1.5228426395939556,2.561576354679783,1.6859025930489473,0.1778669062008085,6.157045362034524,21.54706646884252,21.54706646884252,mitigation_rate
verifiability T3,contract,4.256149941429117,20.886699507389157,14.185523347911957,0.19275998304963937,9.663257598854212,14.936152977948481,20.886699507389157,effective_use_rate
social learning,behaviour,4.0609137055837135,4.630541871921181,0.23308904338457315,0.07598846545635528,13.474749182469386,4.344512410549432,13.474749182469386,mean_wait_days
eta T1 flood,technology,3.7094884810620607,3.9408866995073977,1.1056868515539386,0.13174898317387757,3.6756027883842752,13.179084166190544,13.179084166190544,mitigation_rate
hazard learning rate,behaviour,6.911362748926182,3.2512315270936147,0.5531286786927849,0.035373657914671244,10.391002119087512,4.366028525298819,10.391002119087512,mean_wait_days
farmer risk mean,risk,3.475204998047659,4.532019704433473,1.774919911682988,0.0303979419541522,8.425168614886067,6.845110222958659,8.425168614886067,mean_wait_days
routine benefit T2,technology,1.9133151112846456,4.3349753694581254,0.5527985405883019,0.022068363478455363,7.48101721969074,2.152842503765903,7.48101721969074,mean_wait_days
non-power outage share,loss,0.0,0.0,0.003031943523229671,0.12895006978219975,0.0,7.207855195231152,7.207855195231152,mitigation_rate
learning decay,behaviour,5.544709098008573,5.418719211822653,1.3003048409090034,0.08350237536229363,4.958168415710296,3.8788764157375297,5.544709098008573,adopt_any
T2 capex per mu,technology,0.9371339320578039,3.1527093596059084,0.7995195943965647,0.056703978890881475,3.532022981522434,1.0433451232386421,3.532022981522434,mean_wait_days
stress decay,risk,0.07809449433817309,0.3940886699507447,0.3256249477863532,0.0021209315210163012,0.3367401300517531,0.19353298439365174,0.3940886699507447,effective_use_rate
max mitigation,loss,0.0,0.0,0.0,1.2753215088236165e-05,0.0,0.1924121345015308,0.1924121345015308,mitigation_rate
eta T2 drought,technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adopt_any
