year,dry_spell_days,julaug_precip_mm,hot_days,rainstorm_days,heavy_rainstorm_days,max_1day_mm,max_3day_mm,county
1991,5,583.7,0,2,2,149.2,193.79999999999998,C1
1992,9,696.0,0,3,0,82.4,112.39999999999999,C1
1993,3,435.4,0,3,0,96.3,138.2,C1
1994,3,586.6999999999999,0,1,0,77.4,132.3,C1
1995,3,722.9000000000001,0,4,0,98.1,181.89999999999998,C1
1996,3,701.6999999999999,0,3,0,98.7,183.5,C1
1997,9,511.50000000000006,0,2,1,152.0,167.4,C1
1998,3,560.8,0,4,1,109.0,200.2,C1
1999,5,552.8000000000001,0,1,0,81.7,135.9,C1
2000,5,406.1,0,1,0,55.3,98.3,C1
2001,4,692.7,2,5,2,147.1,214.2,C1
2002,11,272.7,5,0,0,47.6,72.5,C1
2003,4,714.6000000000001,0,2,1,119.4,175.7,C1
2004,6,451.6,1,1,0,52.5,103.0,C1
2005,5,560.6000000000001,0,4,0,65.8,167.5,C1
2006,6,394.4,8,0,0,36.1,87.2,C1
2007,4,742.3000000000001,0,4,1,122.6,223.10000000000002,C1
2008,6,633.7,2,3,1,249.6,282.1,C1
2009,7,584.5999999999999,0,2,0,64.9,123.0,C1
2010,4,685.0,0,4,0,90.5,144.7,C1
2011,7,444.6,0,3,0,84.7,148.1,C1
2012,6,504.80000000000007,0,3,0,61.7,108.4,C1
2013,3,609.4,0,6,0,91.4,150.7,C1
2014,7,477.09999999999997,0,1,0,57.9,103.0,C1
2015,8,405.6000000000001,2,1,0,91.9,139.10000000000002,C1
2016,5,421.00000000000006,4,0,0,42.6,86.50000000000001,C1
2017,6,505.29999999999995,0,1,0,99.6,109.89999999999999,C1
2018,3,782.8999999999999,0,4,0,92.0,162.7,C1
2019,4,613.3000000000001,0,4,1,101.2,159.8,C1
2020,4,1050.6000000000001,0,5,3,186.0,348.6,C1
2021,8,632.1999999999999,0,1,1,149.7,211.79999999999998,C1
2022,8,331.3,16,2,0,62.6,109.30000000000001,C1
2023,6,527.6,3,1,0,59.2,114.70000000000002,C1
2024,5,428.30000000000007,7,2,0,52.9,88.8,C1
1991,13,356.5,0,1,0,60.1,82.89999999999999,C2
1992,7,481.09999999999997,0,2,0,83.2,101.7,C2
1993,4,435.19999999999993,0,5,1,149.1,243.5,C2
1994,5,361.0999999999999,1,0,0,40.7,85.6,C2
1995,7,590.0,0,1,0,52.7,92.7,C2
1996,4,691.7,0,3,0,59.4,113.5,C2
1997,10,355.8999999999999,0,0,0,43.9,93.4,C2
1998,3,673.8,0,5,1,176.2,192.89999999999998,C2
1999,7,401.2,0,0,0,32.2,70.6,C2
2000,4,435.6,0,1,0,58.0,109.5,C2
2001,7,528.9,4,4,3,156.6,250.0,C2
2002,10,251.00000000000003,6,0,0,42.7,55.0,C2
2003,4,678.3,0,2,1,159.1,214.1,C2
2004,14,305.49999999999994,3,0,0,32.0,62.7,C2
