uid,county,terrain,area_mu,c_farmer,digital_literacy,irrigation,coop,service_distance,wealth,exited,mode_T1,mode_T2,mode_T3,effort_T1,effort_T2,effort_T3,state_T1,state_T2,state_T3,form_T1,form_T2,form_T3,any_adopted,any_effective,mean_effort,risk_quartile
0,C1,plain,20.75769784004837,0.6720723083721278,0.417049324209704,True,True,0.04810307862018399,98029.24459392169,False,none,none,service,0.0,0.0,1.0,1,1,4,convex,convex,convex,True,True,0.3333333333333333,Q4 most averse
1,C1,plain,8.027666969264775,0.21890180253879968,0.2744031126329352,True,False,0.011621969921890112,57338.51810625647,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
2,C1,plain,32.32338481498619,0.5987653290080334,0.33358532783207007,True,True,0.0,276134.3955446889,False,service,none,none,0.8975389848140085,0.0,0.0,4,1,1,convex,,convex,True,True,0.2991796616046695,Q4 most averse
3,C1,plain,9.803620778931979,0.3493703543904121,0.4321598045810312,True,False,0.021446123745983127,74576.61731070376,False,none,none,service,0.0,0.0,0.5421033878498199,1,1,3,,,convex,True,False,0.1807011292832733,Q2
4,C1,plain,11.413289738126396,0.3070927540584712,0.8086435211289391,True,True,0.0,83288.00127682972,False,service,none,none,0.8112152866191218,0.0,0.0,4,1,1,concave,,,True,True,0.27040509553970726,Q1 least averse
5,C1,plain,62.919860403120616,0.4213142994465583,0.725318638410704,True,True,0.12332011803490617,323748.4421816535,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,,False,False,0.0,Q2
6,C1,plain,18.83666410898705,0.4240189649730852,0.30273273278291646,False,True,0.0977559612404549,132490.38318488767,False,service,none,none,0.8422184169522589,0.0,0.0,4,1,1,convex,,convex,True,True,0.28073947231741964,Q2
7,C1,plain,23.168181834729186,0.5499764915711913,0.39376383601194836,False,True,0.0,181131.7268786299,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,,False,False,0.0,Q3
8,C1,plain,40.698550964397164,0.5176010408216554,0.3056336159491729,True,False,0.06168280522304624,213356.8097667222,False,none,none,service,0.0,0.0,0.0,1,1,2,convex,,convex,True,False,0.0,Q3
9,C1,plain,9.604234808616122,0.5084772302614313,0.5018744853326375,True,True,0.013083021487167603,70751.77632954676,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
