uid,county,c_provider,units,utilisation,mean_effort
0,C1,0.15219527653202763,0.01881366044827912,0.40063097644194107,0.4628824144270387
1,C2,0.3852312120589344,0.016723253731803663,0.0,0.75440664965816
2,C3,0.6194695258866628,0.010452033582377288,0.42130661939296776,1.0
3,C4,0.1888875721265845,0.01881366044827912,0.0,0.2850135109689138
4,C5,0.24513070635361384,0.022994473881230035,0.0,0.0
5,C6,0.22761965622857944,0.008361626865901832,0.3831548204140425,0.5421033878498199
6,C1,0.27926569703572296,0.016723253731803663,0.9567604225349294,0.47195186988192583
7,C2,0.1681281519241537,0.012542440298852747,0.6804384924847529,0.44227102562679416
8,C3,0.35228186786340465,0.008361626865901832,0.0,0.37580245657094274
9,C4,0.47895952970597333,0.01881366044827912,0.17764026951152814,0.55
10,C5,0.2694909326397084,0.020904067164754576,0.0,0.6557139637763107
11,C6,0.536106982347949,0.010452033582377288,0.6490183304686453,1.0
