parameter,symbol,value,unit,title,year,cited_by,doi,oa_url,sentence,query,verified
eta_flood_machinery,eta_T3_flood,0.5,fraction,A Review on the Effect of Soil Compaction and its Management for Sustainable Crop Production,2021,321,https://doi.org/10.1007/s42853-021-00117-7,https://link.springer.com/content/pdf/10.1007/s42853-021-00117-7.pdf,"Soil compaction resulting from heavy machinery traffic caused a significant crop yield reduction of as much as 50% or even more, depending upon the magnitude and the severity of compaction of the soil.",mechanisation harvest timeliness yield loss reduction China,False
eta_flood_machinery,eta_T3_flood,0.75,fraction,Winter Wheat Yield Prediction at County Level and Uncertainty Analysis in Main Wheat-Producing Regions of China with Deep Learning Approaches,2020,275,https://doi.org/10.3390/rs12111744,https://www.mdpi.com/2072-4292/12/11/1744/pdf?version=1591173596,We further conducted yield prediction and uncertainty analysis based on the two-branch model and obtained the forecast accuracy in one month prior to harvest of 0.75 and 732 kg/ha.,timely harvesting reduces yield loss rice China,False
eta_flood_machinery,eta_T3_flood,0.53,fraction,Crops that feed the world 10. Past successes and future challenges to the role played by wheat in global food security,2013,1441,https://doi.org/10.1007/s12571-013-0263-y,https://link.springer.com/content/pdf/10.1007/s12571-013-0263-y.pdf,The developing regions (including China and Central Asia) account for roughly 53 % of the total harvested area and 50 % of the production.,timely harvesting reduces yield loss rice China,False
eta_flood_machinery,eta_T3_flood,0.5,fraction,Crops that feed the world 10. Past successes and future challenges to the role played by wheat in global food security,2013,1441,https://doi.org/10.1007/s12571-013-0263-y,https://link.springer.com/content/pdf/10.1007/s12571-013-0263-y.pdf,The developing regions (including China and Central Asia) account for roughly 53 % of the total harvested area and 50 % of the production.,timely harvesting reduces yield loss rice China,False
eta_drought_irrigation,eta_T2_drought,0.2892,fraction,"Review on Drip Irrigation: Impact on Crop Yield, Quality, and Water Productivity in China",2023,243,https://doi.org/10.3390/w15091733,https://www.mdpi.com/2073-4441/15/9/1733/pdf?version=1682840358,"When the drip irrigation amount is more (100–120%), drip irrigation significantly increases crop yields by 28.92%, 14.55%, 8.03%, 2.32%, and 5.17% relative to flooding irrigation, border irrigation, furrow irrigation, sprinkler irrigation, and micro-sprinkler irrigation, respectively.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.14550000000000002,fraction,"Review on Drip Irrigation: Impact on Crop Yield, Quality, and Water Productivity in China",2023,243,https://doi.org/10.3390/w15091733,https://www.mdpi.com/2073-4441/15/9/1733/pdf?version=1682840358,"When the drip irrigation amount is more (100–120%), drip irrigation significantly increases crop yields by 28.92%, 14.55%, 8.03%, 2.32%, and 5.17% relative to flooding irrigation, border irrigation, furrow irrigation, sprinkler irrigation, and micro-sprinkler irrigation, respectively.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.0803,fraction,"Review on Drip Irrigation: Impact on Crop Yield, Quality, and Water Productivity in China",2023,243,https://doi.org/10.3390/w15091733,https://www.mdpi.com/2073-4441/15/9/1733/pdf?version=1682840358,"When the drip irrigation amount is more (100–120%), drip irrigation significantly increases crop yields by 28.92%, 14.55%, 8.03%, 2.32%, and 5.17% relative to flooding irrigation, border irrigation, furrow irrigation, sprinkler irrigation, and micro-sprinkler irrigation, respectively.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.0232,fraction,"Review on Drip Irrigation: Impact on Crop Yield, Quality, and Water Productivity in China",2023,243,https://doi.org/10.3390/w15091733,https://www.mdpi.com/2073-4441/15/9/1733/pdf?version=1682840358,"When the drip irrigation amount is more (100–120%), drip irrigation significantly increases crop yields by 28.92%, 14.55%, 8.03%, 2.32%, and 5.17% relative to flooding irrigation, border irrigation, furrow irrigation, sprinkler irrigation, and micro-sprinkler irrigation, respectively.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.051699999999999996,fraction,"Review on Drip Irrigation: Impact on Crop Yield, Quality, and Water Productivity in China",2023,243,https://doi.org/10.3390/w15091733,https://www.mdpi.com/2073-4441/15/9/1733/pdf?version=1682840358,"When the drip irrigation amount is more (100–120%), drip irrigation significantly increases crop yields by 28.92%, 14.55%, 8.03%, 2.32%, and 5.17% relative to flooding irrigation, border irrigation, furrow irrigation, sprinkler irrigation, and micro-sprinkler irrigation, respectively.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.26,fraction,Water-Saving Potential of Subsurface Drip Irrigation For Winter Wheat,2019,92,https://doi.org/10.3390/su11102978,https://www.mdpi.com/2071-1050/11/10/2978/pdf?version=1559026615,"Subsurface drip irrigation reduced ET by 26% compared to flood irrigation, and 15% compared to surface drip irrigation, with significant grain yield and biomass formation due to decreased evaporation losses.",drip irrigation water saving yield increase China maize wheat,False
