scenario,baseline,metric,direction,n_pairs,mean_difference,sd_difference,mcse_difference,ci_low,ci_high,ci_half_width,probability_better
integrated,baseline,mitigation_rate,max,2,0.0168772552801525,0.007905279614093094,0.0055898768223009996,0.00592129803042734,0.02783321252987766,0.01095595724972516,1.0
voucher,baseline,mitigation_rate,max,2,-0.0018510032178665993,0.0025571306784534604,0.0018081644431145987,-0.005394940404497135,0.0016929339687639369,0.003543937186630536,0.0
voucher_plus_capacity,baseline,mitigation_rate,max,2,0.0048119000454888506,0.007447044462424723,0.005265855639178249,-0.0055089873550876614,0.015132787446065363,0.010320887400576512,0.5
integrated,baseline,effective_use_rate,max,2,0.05128205128205131,0.012087295404898186,0.008547008547008503,0.034530222354358625,0.06803388020974399,0.01675182892769268,1.0
voucher,baseline,effective_use_rate,max,2,-0.029914529914529947,0.03021823851224559,0.021367521367521344,-0.07179410223376181,0.01196504240470192,0.04187957231923187,0.0
voucher_plus_capacity,baseline,effective_use_rate,max,2,0.029914529914529905,0.01813094310734733,0.012820512820512789,0.0047867865229908185,0.05504227330606899,0.025127743391539087,1.0
integrated,baseline,mean_wait_days,min,2,-9.159583539658353,5.790601034495792,4.094573258637811,-17.18479965864927,-1.134367420667438,8.025216118990915,1.0
voucher,baseline,mean_wait_days,min,2,-0.7896270231345062,1.1737206024412588,0.8299457972045738,-2.416290894775854,0.8370368485068416,1.6266638716413477,0.5
voucher_plus_capacity,baseline,mean_wait_days,min,2,-9.916953619484904,5.9219718034629585,4.187466420224186,-18.124236989595175,-1.7096702493746339,8.20728337011027,1.0
integrated,baseline,income_p10,max,2,23.076499458937633,16.50331462834792,11.66960568575996,0.20449260106427758,45.94850631681099,22.872006857873355,1.0
voucher,baseline,income_p10,max,2,-4.657322244933539,275.61168628461957,194.88689234611385,-386.6286123022513,377.31396781238425,381.9712900573178,0.5
voucher_plus_capacity,baseline,income_p10,max,2,-48.10207061094843,341.3892470972061,241.39865164660432,-521.2347337548234,425.03059253292656,473.132663143875,0.5
integrated,baseline,equity_gap,min,2,0.0007238263908766503,0.0010236450987298501,0.0007238263908402499,-0.000694847266229852,0.0021425000479831525,0.0014186736571065023,0.0
voucher,baseline,equity_gap,min,2,0.00022654765522249801,0.00032038676652788986,0.0002265476552143021,-0.0002174775897795318,0.0006705729002245279,0.0004440252450020298,0.0
voucher_plus_capacity,baseline,equity_gap,min,2,0.0006427315478303904,0.0009089596718898465,0.0006427315478184097,-0.0006169991376213758,0.0019024622332821568,0.0012597306854517662,0.0
integrated,baseline,mountain_gap,min,2,0.0003528392618003312,0.0004989900693428416,0.00035283926177706885,-0.0003387129836144237,0.001044391507215086,0.0006915522454147549,0.0
voucher,baseline,mountain_gap,min,2,-8.510136660879036e-06,1.2035150680977113e-05,8.51013665912081e-06,-2.518969801626984e-05,8.169424694511769e-06,1.6679561355390805e-05,1.0
voucher_plus_capacity,baseline,mountain_gap,min,2,0.00030090109455451495,0.0004255384088495992,0.0003009010945528851,-0.00028885421367782116,0.000890656402786851,0.0005897553082323361,0.0
integrated,baseline,fiscal_cumulative,min,2,2105.0406262380893,99.63214863571369,70.45056792449917,1966.9600504156783,2243.1212020605003,138.08057582241108,0.0
voucher,baseline,fiscal_cumulative,min,2,1843.0684744086664,724.1207650664103,512.0307033764495,839.506736812114,2846.6302120052187,1003.5617375965523,0.0
voucher_plus_capacity,baseline,fiscal_cumulative,min,2,2548.3945439493855,63.87716319585787,45.16797525875085,2459.8669391876374,2636.9221487111336,88.52760476174788,0.0
