metric,scenario,probability_best,n_rankings
mitigation_rate,baseline,0.0,2
mitigation_rate,integrated,1.0,2
mitigation_rate,voucher,0.0,2
mitigation_rate,voucher_plus_capacity,0.0,2
effective_use_rate,baseline,0.0,2
effective_use_rate,integrated,1.0,2
effective_use_rate,voucher,0.0,2
effective_use_rate,voucher_plus_capacity,0.0,2
mean_wait_days,baseline,0.0,2
mean_wait_days,integrated,0.0,2
mean_wait_days,voucher,0.0,2
mean_wait_days,voucher_plus_capacity,1.0,2
income_p10,baseline,0.0,2
income_p10,integrated,0.0,2
income_p10,voucher,0.5,2
income_p10,voucher_plus_capacity,0.5,2
equity_gap,baseline,1.0,2
equity_gap,integrated,0.0,2
equity_gap,voucher,0.0,2
equity_gap,voucher_plus_capacity,0.0,2
mountain_gap,baseline,0.0,2
mountain_gap,integrated,0.0,2
mountain_gap,voucher,1.0,2
mountain_gap,voucher_plus_capacity,0.0,2
fiscal_cumulative,baseline,1.0,2
fiscal_cumulative,integrated,0.0,2
fiscal_cumulative,voucher,0.0,2
fiscal_cumulative,voucher_plus_capacity,0.0,2
