scenario,baseline,metric,direction,n_pairs,mean_difference,sd_difference,mcse_difference,ci_low,ci_high,ci_half_width,probability_better
insurance,baseline,mitigation_rate,max,8,0.00027505464256524434,0.0007216416360336902,0.00025513884721298837,-0.0002250083090292803,0.000775117594159769,0.0005000629515945247,0.25
integrated,baseline,mitigation_rate,max,8,0.009726261432126005,0.005778492492039647,0.0020430056130783933,0.005722044010279182,0.013730478853972827,0.004004217421846823,1.0
mountain_equity,baseline,mitigation_rate,max,8,-0.0006736166845871042,0.0034374026350112463,0.0012153053564424796,-0.0030555714134329766,0.0017083380442587683,0.0023819547288458725,0.5
subsidy,baseline,mitigation_rate,max,8,0.001638245232763461,0.004084884585633719,0.0014442247954330014,-0.001192383351864948,0.00446887381739187,0.002830628584628409,0.625
training_maintenance,baseline,mitigation_rate,max,8,0.00017303789180255456,0.0026758433598236763,0.0009460534925621581,-0.0016811928810676069,0.0020272686646727158,0.0018542307728701614,0.625
voucher,baseline,mitigation_rate,max,8,0.006467132403391021,0.005740962800199329,0.002029736863280328,0.0024889212532682786,0.010445343553513762,0.003978211150122742,0.875
voucher_plus_capacity,baseline,mitigation_rate,max,8,0.010441365814616556,0.0038612756749130065,0.001365167106880825,0.007765687452251396,0.013117044176981715,0.002675678362365159,1.0
warning_response,baseline,mitigation_rate,max,8,-0.003817089206792761,0.004450775175614854,0.001573586654107005,-0.006901262375395378,-0.0007329160381901443,0.0030841731686026166,0.25
insurance,baseline,effective_use_rate,max,8,0.0025000000000000022,0.004960158727618971,0.0017536809360305058,-0.0009371514749942789,0.005937151474994283,0.003437151474994281,0.25
integrated,baseline,effective_use_rate,max,8,0.07979166666666666,0.04084851515632105,0.014442131034218039,0.05148560997959111,0.10809772335374221,0.028306056687075552,1.0
mountain_equity,baseline,effective_use_rate,max,8,0.0072916666666666755,0.012565305597632912,0.004442506397883758,-0.0014154858742742547,0.015998819207607606,0.00870715254094093,0.625
subsidy,baseline,effective_use_rate,max,8,-0.0014583333333333271,0.01614511327119394,0.005708159538543079,-0.012646120446886533,0.009729453780219879,0.011187787113553206,0.625
training_maintenance,baseline,effective_use_rate,max,8,0.018333333333333347,0.012215005084172068,0.004318656463623112,0.009868922203030936,0.02679774446363576,0.008464411130302411,0.875
voucher,baseline,effective_use_rate,max,8,0.021666666666666674,0.010118347314702764,0.0035773760003135085,0.01465513854689425,0.0286781947864391,0.007011528119772424,1.0
voucher_plus_capacity,baseline,effective_use_rate,max,8,0.05562500000000001,0.04115338613621229,0.01454991920285208,0.027107682384442205,0.08414231761555781,0.028517317615557803,0.875
warning_response,baseline,effective_use_rate,max,8,-0.02166666666666666,0.01168366109179552,0.004130797993547017,-0.02976288196142913,-0.01357045137190419,0.00809621529476247,0.0
insurance,baseline,mean_wait_days,min,8,-0.1770596002273913,0.32912067201748657,0.11636172950611917,-0.40512439923817656,0.051005198783393935,0.22806479901078525,0.25
integrated,baseline,mean_wait_days,min,8,-6.192104071925711,1.2143233584066362,0.4293281406412774,-7.033571765132161,-5.350636378719261,0.8414676932064505,1.0
mountain_equity,baseline,mean_wait_days,min,8,-0.7938557287533972,0.7947853758379662,0.28099906442146233,-1.3446037747089137,-0.24310768279788064,0.5507480459555165,0.875
subsidy,baseline,mean_wait_days,min,8,-1.1575547247346778,1.584472667536314,0.5601956839098329,-2.2555180894927345,-0.05959135997662135,1.0979633647580564,0.75
training_maintenance,baseline,mean_wait_days,min,8,-0.5834601079772886,2.4890844308495406,0.8800242399997841,-2.3082759238990977,1.1413557079445207,1.7248158159218092,0.375
voucher,baseline,mean_wait_days,min,8,1.156814753302994,1.4452992622007634,0.5109904545730368,0.15529186589609156,2.158337640709896,1.0015228874069024,0.25
voucher_plus_capacity,baseline,mean_wait_days,min,8,-6.3304775540996285,1.2592872409051254,0.4452252737528558,-7.203103055662212,-5.457852052537045,0.8726255015625834,1.0
warning_response,baseline,mean_wait_days,min,8,1.5536637833047893,1.542184746977156,0.5452446462150035,0.48500391396009923,2.622323652649479,1.06865986934469,0.25
insurance,baseline,income_p10,max,8,-52.92974717060616,38.087186989979294,13.465854098467203,-79.32233622467295,-26.537158116539374,26.39258905406679,0.125
integrated,baseline,income_p10,max,8,1.1859285996671929,3.32285258520768,1.1748057979418003,-1.116648453127575,3.488505652461961,2.302577052794768,0.25
mountain_equity,baseline,income_p10,max,8,1.012073476022067,3.377282126955225,1.194049546975083,-1.3282206318054621,3.3523675838495963,2.3402941078275292,0.125
subsidy,baseline,income_p10,max,8,1.395429664303549,3.3003583827169143,1.1668528963824985,-0.891559987862395,3.682419316469493,2.286989652165944,0.375
training_maintenance,baseline,income_p10,max,8,1.0682191952980702,3.38692596662342,1.1974591591881112,-1.2787576296682426,3.415196020264383,2.3469768249663128,0.25
voucher,baseline,income_p10,max,8,1.1859285996671929,3.32285258520768,1.1748057979418003,-1.116648453127575,3.488505652461961,2.302577052794768,0.25
voucher_plus_capacity,baseline,income_p10,max,8,0.8991318286425098,3.6201169938278306,1.279904637512159,-1.609435164527114,3.407698821812134,2.508566993169624,0.25
warning_response,baseline,income_p10,max,8,1.1859285996671929,3.32285258520768,1.1748057979418003,-1.116648453127575,3.488505652461961,2.302577052794768,0.25
insurance,baseline,equity_gap,min,8,-7.710289380560929e-06,2.1807991623621032e-05,7.710289380560929e-06,-2.2822178876841988e-05,7.4016001157201306e-06,1.511188949628106e-05,0.125
integrated,baseline,equity_gap,min,8,0.0006560815577952787,0.0011102169942000012,0.00039252098259368333,-0.00011324543126461385,0.0014254085468551714,0.0007693269890598926,0.25
mountain_equity,baseline,equity_gap,min,8,-8.660425494688485e-05,0.00018828200057643277,6.656773969148252e-05,-0.00021707462727442803,4.386611738065831e-05,0.00013047037232754316,0.625
subsidy,baseline,equity_gap,min,8,0.00028127771770670453,0.00047321518805086446,0.00016730683421561677,-4.663765172331787e-05,0.0006091930871367269,0.0003279153694300224,0.125
training_maintenance,baseline,equity_gap,min,8,0.00010393026431671236,0.0004607959021908349,0.0001629159535910562,-0.00021537913722875665,0.00042323966586218137,0.000319309401545469,0.375
voucher,baseline,equity_gap,min,8,0.0006264476995655752,0.0010129793132134246,0.0003581422707874521,-7.549825251922224e-05,0.0013283936516503727,0.0007019459520847974,0.125
voucher_plus_capacity,baseline,equity_gap,min,8,0.0005184565984988001,0.0008386805301851197,0.00029651834507151353,-6.270867859678605e-05,0.0010996218755943863,0.0005811652770955862,0.125
warning_response,baseline,equity_gap,min,8,2.6639910554765943e-05,0.0002573278338464376,9.09791281504306e-05,-0.0001516759039649322,0.00020495572507446406,0.00017831581451969812,0.5
insurance,baseline,mountain_gap,min,8,1.4549764828317852e-05,4.114795757089964e-05,1.4547999915179735e-05,-1.3963791052526186e-05,4.306332070916189e-05,2.8513555880844037e-05,0.0
integrated,baseline,mountain_gap,min,8,0.0006222259171924213,0.0010493669498564194,0.00037100724309825894,-0.00010493491728366254,0.0013493867516685052,0.0007271608344760839,0.125
mountain_equity,baseline,mountain_gap,min,8,4.383033966573595e-06,0.0002686556771124737,9.498412554524684e-05,-0.0001817824312051411,0.00019054849913828828,0.0001861654651717147,0.75
subsidy,baseline,mountain_gap,min,8,9.452359182693458e-05,0.0003182763143907767,0.00011252767009838986,-0.00012602658883011428,0.00031507377248398343,0.00022055018065704886,0.625
training_maintenance,baseline,mountain_gap,min,8,-3.743441914942247e-05,0.0004258833679411184,0.00015057250873286515,-0.00033255111332768084,0.00025768227502883593,0.0002951166941782584,0.625
voucher,baseline,mountain_gap,min,8,0.0004950983383031214,0.0006515655400314398,0.000230363205871853,4.35947514311038e-05,0.000946601925175139,0.00045150358687201763,0.0
voucher_plus_capacity,baseline,mountain_gap,min,8,0.0005135163857456734,0.0007061965572466945,0.0002496781872398658,2.4156131030288403e-05,0.0010028766404610583,0.000489360254715385,0.0
