metric,scenario,probability_best,n_rankings
mitigation_rate,baseline,0.0,8
mitigation_rate,insurance,0.0,8
mitigation_rate,integrated,0.625,8
mitigation_rate,mountain_equity,0.0,8
mitigation_rate,subsidy,0.0,8
mitigation_rate,training_maintenance,0.0,8
mitigation_rate,voucher,0.125,8
mitigation_rate,voucher_plus_capacity,0.25,8
mitigation_rate,warning_response,0.0,8
effective_use_rate,baseline,0.0,8
effective_use_rate,insurance,0.0,8
effective_use_rate,integrated,1.0,8
effective_use_rate,mountain_equity,0.0,8
effective_use_rate,subsidy,0.0,8
effective_use_rate,training_maintenance,0.0,8
effective_use_rate,voucher,0.0,8
effective_use_rate,voucher_plus_capacity,0.0,8
effective_use_rate,warning_response,0.0,8
mean_wait_days,baseline,0.0,8
mean_wait_days,insurance,0.0,8
mean_wait_days,integrated,0.25,8
mean_wait_days,mountain_equity,0.0,8
mean_wait_days,subsidy,0.0,8
mean_wait_days,training_maintenance,0.0,8
mean_wait_days,voucher,0.0,8
mean_wait_days,voucher_plus_capacity,0.75,8
mean_wait_days,warning_response,0.0,8
income_p10,baseline,0.5,8
income_p10,insurance,0.125,8
income_p10,integrated,0.25,8
income_p10,mountain_equity,0.0,8
income_p10,subsidy,0.125,8
income_p10,training_maintenance,0.0,8
income_p10,voucher,0.0,8
income_p10,voucher_plus_capacity,0.0,8
income_p10,warning_response,0.0,8
equity_gap,baseline,0.0,8
equity_gap,insurance,0.0,8
equity_gap,integrated,0.0,8
equity_gap,mountain_equity,0.5,8
equity_gap,subsidy,0.125,8
equity_gap,training_maintenance,0.125,8
equity_gap,voucher,0.0,8
equity_gap,voucher_plus_capacity,0.0,8
equity_gap,warning_response,0.25,8
mountain_gap,baseline,0.125,8
mountain_gap,insurance,0.0,8
mountain_gap,integrated,0.0,8
mountain_gap,mountain_equity,0.25,8
mountain_gap,subsidy,0.0,8
mountain_gap,training_maintenance,0.25,8
mountain_gap,voucher,0.0,8
mountain_gap,voucher_plus_capacity,0.0,8
mountain_gap,warning_response,0.375,8
fiscal_cumulative,baseline,1.0,8
fiscal_cumulative,insurance,0.0,8
fiscal_cumulative,integrated,0.0,8
fiscal_cumulative,mountain_equity,0.0,8
fiscal_cumulative,subsidy,0.0,8
fiscal_cumulative,training_maintenance,0.0,8
fiscal_cumulative,voucher,0.0,8
fiscal_cumulative,voucher_plus_capacity,0.0,8
fiscal_cumulative,warning_response,0.0,8
